id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46772564,"Charmantes chambre downtown, métro Atwater",216733337,Maeldwyn,,Ville-Marie,45.49078,-73.58065,Entire home/apt,40,1,0,,,1,0,0,
46774239,Sonder at The Richmond | One-Bedroom Apartment,224865057,Sonder (Montreal),,Le Sud-Ouest,45.48848,-73.566,Entire home/apt,196,2,58,2022-08-20,3.05,40,342,40,298514
46779425,Cozy Home Plenty of Sunlight,39159881,Lizzy,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47627,-73.63076,Entire home/apt,250,3,33,2022-08-05,2.10,2,361,24,308210
46923956,Modern and quiet appartment perfect for short term,168562311,Deborah,,Le Sud-Ouest,45.47238,-73.59094,Entire home/apt,148,7,10,2022-08-01,0.49,1,71,4,
46796000,Perfect Location! Entire appartement. Le Plateau.,83104201,Miguel,,Le Plateau-Mont-Royal,45.52575,-73.57707,Entire home/apt,108,1,52,2022-09-06,2.78,1,284,45,297689
46940231,Beautiful 5 bedroom chalet with pool,86591136,Mary,,L'Île-Bizard-Sainte-Geneviève,45.47514,-73.89279,Entire home/apt,140,32,8,2021-11-18,0.61,3,346,4,
46943367,Brand new 2 Bedroom apartment in Griffintown,223679880,Kasba,,Le Sud-Ouest,45.49036,-73.56056,Entire home/apt,229,45,9,2022-06-24,0.46,62,286,6,
46971590,Small cozy apartment,69095801,Maria,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46963,-73.61633,Entire home/apt,52,14,0,,,1,0,0,
46797473,"Appartement face au parc, à 1min du métro Joliette",185888697,Fabien,,Mercier-Hochelaga-Maisonneuve,45.54947,-73.55033,Entire home/apt,33,2,2,2021-04-21,0.10,1,0,0,
46812288,Modern & Urban Loft Space,7106902,Spencer,,Le Plateau-Mont-Royal,45.51611,-73.57897,Entire home/apt,53,4,11,2022-06-04,0.77,1,0,7,309310
46813411,Luxury one bedroom downtown Montreal,304865542,Lucas,,Ville-Marie,45.49536,-73.5695,Entire home/apt,1950,31,0,,,1,365,0,
46971902,Luxurious Victorian Style Apartment/Townhouse,374483405,Emma,,Ville-Marie,45.49081,-73.57864,Entire home/apt,191,1,55,2022-09-04,2.59,1,25,42,
46814101,Luxury apartment in an exclusive residence,15094723,Robert,,Ville-Marie,45.49803,-73.55571,Entire home/apt,300,90,0,,,1,365,0,
46982622,"Newly Remodeled, Totally Private one bedroom Apt",379829272,Said,,Le Sud-Ouest,45.46137,-73.58589,Entire home/apt,98,1,6,2021-09-12,0.34,1,1,0,
46986757,Corporate Studio/Relocation/Long Term ★★★★★,117827514,Alex,,Ville-Marie,45.51031,-73.56013,Entire home/apt,159,30,2,2022-05-20,0.22,30,183,2,
46986809,"Appart sympa, déco d'artiste et ensoleillé",212624336,Natacha,,Rosemont-La Petite-Patrie,45.57155,-73.5704,Entire home/apt,60,31,4,2022-04-30,0.21,1,0,2,
46816395,green line pie ix 2 minutes brand new 3 1/2,350516044,Airu,,Mercier-Hochelaga-Maisonneuve,45.5532,-73.55344,Entire home/apt,59,2,0,,,1,0,0,
46822006,Great 2bdr in heart of downtown w interior parking,378300532,Ima,,Ville-Marie,45.51109,-73.56879,Entire home/apt,165,2,27,2022-08-31,5.66,1,61,27,
46989698,Charming One Bedroom in the centre of Montreal,90643563,Linda,,Ville-Marie,45.49432,-73.57006,Entire home/apt,172,7,7,2022-08-08,0.56,6,54,6,
46827479,"Spacious 3 bdr apartment , Free parking СITQ299017",246167191,Alexandra,,Lachine,45.44764,-73.68321,Entire home/apt,140,1,66,2022-08-28,3.16,3,163,44,CITQ299017
46991638,Private room close to downtown,374301072,Antoneta,,Le Plateau-Mont-Royal,45.51448,-73.57749,Private room,40,29,12,2022-08-26,0.68,4,263,11,
46846353,Sweet little studio,44760287,Holly,,Rosemont-La Petite-Patrie,45.53408,-73.5935,Entire home/apt,50,1,1,2020-12-27,0.05,1,0,0,
46855025,Condo sur Mont Royal entre St-Laurent et St-Denis.,36438479,Simon,,Le Plateau-Mont-Royal,45.52194,-73.58513,Entire home/apt,90,5,0,,,1,0,0,
46991984,Magnifique condo moderne,1367989,Christophe,,Rosemont-La Petite-Patrie,45.54818,-73.56871,Entire home/apt,71,10,0,,,1,165,0,
46855192,.,245134585,Mario,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.51154,-73.63011,Private room,90,2,5,2021-11-07,0.36,1,0,3,
47014124,Stella Stays | Cozy Condo | Old MTL,156562805,Stella Stays,,Ville-Marie,45.50249,-73.55782,Entire home/apt,219,1,77,2022-08-25,3.66,9,64,46,
46876400,Everything you will need @ chez Johnny,363638433,Johnny,,Saint-Léonard,45.58156,-73.57508,Entire home/apt,68,32,40,2022-07-29,1.90,1,336,12,
47051167,Prestigious Loft On The Water - Canal Lachine,15827775,Tommy,,Le Sud-Ouest,45.4754,-73.58133,Entire home/apt,126,45,5,2022-08-28,0.31,1,302,3,
47457640,Corporate Stays | Le V | 1BR Apt with Pool & Gym,38459934,Corporate Stays,,Ville-Marie,45.50656,-73.56535,Entire home/apt,248,30,0,,,183,0,0,
47457814,Corporate Stays | Le V | 1BR with Great Decor,38459934,Corporate Stays,,Ville-Marie,45.50476,-73.5635,Entire home/apt,248,30,0,,,183,0,0,
47467339,Cozy well located apartment!,316097622,Matias,,Le Plateau-Mont-Royal,45.51719,-73.58108,Entire home/apt,106,2,12,2022-09-12,0.61,2,23,9,
47051580,Chambre privée au style bohème,55555381,Angie,,Ville-Marie,45.52938,-73.55397,Private room,67,5,1,2022-08-31,1,1,13,1,
47467346,Modern & Elegant Studio in Plateau near Downtown,373613895,Marc,,Le Plateau-Mont-Royal,45.5089,-73.57768,Entire home/apt,65,2,24,2021-08-26,1.18,4,0,0,
47473875,Appartement entier,383213748,Gaylor,,Rosemont-La Petite-Patrie,45.56601,-73.57859,Entire home/apt,12000,1,0,,,1,365,0,
