id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3579644,Double Room 1,18030374,Caroline,,South Dublin,53.28895,-6.30707,Private room,61,2,239,2022-09-11,2.41,2,59,27,
2084913,Ensuite luxury - Dublin city center,5670240,Patricia,,Dublin City,53.34932,-6.26709,Private room,80,2,48,2016-10-21,0.53,1,0,0,
3581384,Contemporary 3 Bedroom Townhouse Dublin Central,17981524,Christina,,Dublin City,53.32579,-6.3159,Entire home/apt,120,7,20,2019-08-18,0.39,5,0,0,
3581655,Twin room,18030374,Caroline,,South Dublin,53.28917,-6.30743,Private room,60,2,266,2022-09-06,2.68,2,58,30,
2121887,Great Penthouse In City Centre,4681988,Gareth,,Dublin City,53.33914,-6.26709,Entire home/apt,70,2,7,2018-01-28,0.11,1,0,0,
3592153,"Victorian House
4 Bed City Centre
Ballsbridge
D4",17259900,Conor,,Dublin City,53.33219,-6.22718,Entire home/apt,950,2,156,2022-09-11,1.60,1,58,25,
2162973,Cosy Georgian independent flat in Ranelagh.,1467387,Ali,,Dublin City,53.32147,-6.24967,Entire home/apt,125,14,58,2022-07-09,0.55,1,0,3,
3604420,"Self Catering Barge, Tig Beatha",5001093,Trish,,Dublin City,53.34736,-6.22631,Entire home/apt,165,2,28,2021-09-05,0.28,2,0,0,
3604440,Beautful Apt in Iconic Millenium Tower @ Docklands,37345570,Kieran,,Dublin City,53.34407,-6.2363,Entire home/apt,1219,14,123,2019-06-22,1.25,9,0,0,
4872877,Cosy single room in wooden indoor house,226173077,Justyna,,Dublin City,53.34282,-6.31016,Private room,45,2,56,2022-07-27,0.72,3,2,4,
3622736,Beautiful House with Garden in City,18249653,Katie,,Dublin City,53.33605,-6.27914,Entire home/apt,190,2,5,2017-12-19,0.06,1,0,0,
3634410,Smart Townhouse in excellent location,18323987,Cathy,,Dublin City,53.33757,-6.23803,Entire home/apt,269,2,61,2022-08-21,0.67,1,0,8,
3643131,City 2 bed Cosy Cottage,18395651,Jo,,Dublin City,53.33655,-6.28753,Entire home/apt,200,2,46,2017-07-24,0.47,1,0,0,
4940924,"Glenamuck, beautiful room for let",19714107,Brian,,Dn Laoghaire-Rathdown,53.24446,-6.18115,Private room,98,1,13,2019-11-21,0.19,2,315,0,
3698469,"Killiney,Dublin-Period Villa-Private Room 2 of 2",390963,Anthony,,Dn Laoghaire-Rathdown,53.24678,-6.12062,Private room,91,2,66,2022-08-29,0.77,2,278,6,
3708033,Spacious modern house,18912114,Max,,Dublin City,53.32587,-6.25865,Entire home/apt,700,3,7,2019-02-04,0.09,1,0,0,
4945419,"Exceptional location, Christchurch(Dublin castle)",20149906,Marie,,Dublin City,53.34332,-6.27064,Entire home/apt,125,1,5,2018-10-14,0.10,1,0,0,
4963289,"Exquisite Private Suite in Malahide, Dublin.",25585623,Albert,,Fingal,53.44779,-6.13524,Private room,83,1,467,2022-08-26,5.08,1,59,96,
3723817,One bedroom house close to City Centre,11977133,Laura,,Dublin City,53.33613,-6.32971,Entire home/apt,65,3,3,2019-06-02,0.06,1,0,0,
3725793,Double Room in Spacious House,19033083,Teresa,,Dn Laoghaire-Rathdown,53.30893,-6.24091,Private room,45,3,5,2016-08-21,0.06,7,0,0,
4965606,"3 Bed house , near sea , big lounge in Bayside",18466080,Tony,,Fingal,53.38976,-6.1385,Entire home/apt,120,15,86,2022-08-31,0.94,1,29,6,
3737322,Cosy 1 bed apt in city center,12751045,Orla,,Dublin City,53.33012,-6.2722,Entire home/apt,55,7,8,2016-08-27,0.10,1,0,0,
4981330,"Bright, Spacious Apt in City Centre",25679313,Siobhan,,Dublin City,53.3553,-6.25801,Entire home/apt,125,3,61,2016-11-01,0.66,1,0,0,
3740535,Room beside Dublin Castle,4537751,Brian,,Dublin City,53.34292,-6.26691,Private room,70,1,6,2016-08-15,0.06,1,0,0,
5000537,Cosy Cottage in Dublin Mountains!,23112012,Pauline,,Dn Laoghaire-Rathdown,53.24205,-6.22829,Entire home/apt,180,2,151,2022-09-03,1.63,1,69,26,
3741414,TRAM 50M | WALK TO CENTRE 20MINS | WIFI,18976273,Gill,,Dublin City,53.36364,-6.28616,Private room,33,4,20,2018-06-25,0.23,6,0,0,
3741699,Great Double/Twin in Lovely House,19033083,Teresa,,Dn Laoghaire-Rathdown,53.30939,-6.24007,Private room,45,3,7,2016-08-26,0.08,7,0,0,
5045518,2 bed house near city and airport,26048219,Pauline,,Dublin City,53.37738,-6.21664,Entire home/apt,125,5,53,2022-08-31,0.62,1,112,8,
3747675,Edwardian Red Brick House in Dublin 6,19170853,Rob,,Dublin City,53.32227,-6.28035,Entire home/apt,210,3,25,2022-08-15,0.27,1,0,3,
5056234,"Large luxurious house. 4bed/4bath, 10mins to City",26106771,Ronan,,Dn Laoghaire-Rathdown,53.3097,-6.2332,Entire home/apt,514,4,90,2022-08-20,0.98,1,270,11,
3749697,Single Room in Dalkey home,19164017,Annmarie,,Dn Laoghaire-Rathdown,53.272,-6.11282,Private room,60,1,109,2022-08-14,1.20,1,337,21,
5091879,Beautiful Victorian home in Dublin south city,26306461,Damien,,Dublin City,53.32642,-6.25082,Entire home/apt,433,4,23,2017-07-24,0.25,1,3,0,
3767317,Artist's Pad near Guinness Factory,2741410,Fergal,,Dublin City,53.3415,-6.28923,Entire home/apt,110,3,3,2016-01-05,0.03,1,0,0,
5092240,Twin Room in city centre apartment,26308394,Anna,,Dublin City,53.34545,-6.28441,Private room,50,2,71,2020-03-09,0.77,2,0,0,
5092800,Great Apartment in the city centre,26308394,Anna,,Dublin City,53.34532,-6.28312,Entire home/apt,120,4,37,2020-02-24,0.40,2,0,0,
3770752,Central Dublin Comfy Victorian Charm,19325587,Aoife,,Dublin City,53.3549,-6.26868,Private room,83,4,304,2022-09-07,3.08,3,69,34,
5103919,Fantastic Docklands Apartment,19054004,Michael,,Dublin City,53.34579,-6.23709,Entire home/apt,495,3,3,2017-03-19,0.03,1,0,0,
3789686,Waterfront Apartment in the Heart of Dublin City,13987224,Veronica,,Dublin City,53.34197,-6.23965,Private room,82,4,388,2020-03-24,3.94,1,71,0,
